,epoch,train_exact,train_f1,train_total,train_HasAns_exact,train_HasAns_f1,train_HasAns_total,train_NoAns_exact,train_NoAns_f1,train_NoAns_total,train_best_exact,train_best_exact_thresh,train_best_f1,train_best_f1_thresh,validation_exact,validation_f1,validation_total,validation_HasAns_exact,validation_HasAns_f1,validation_HasAns_total,validation_NoAns_exact,validation_NoAns_f1,validation_NoAns_total,validation_best_exact,validation_best_exact_thresh,validation_best_f1,validation_best_f1_thresh
0,0,17.489391416447333,19.721390381954002,130319,0.25454671104917015,3.60479461404274,86821,51.889742057106076,51.889742057106076,43498,33.37809528925176,0.0,33.37809528925176,0.0,24.037732670765603,26.523368740137407,11873,1.2820512820512822,6.260451594408347,5928,46.72834314550042,46.72834314550042,5945,50.07159100480081,0.0,50.07159100480081,0.0
1,1,29.836785119591156,39.029080905912345,130319,31.07312746916069,44.870835334512044,86821,27.369074440204148,27.369074440204148,43498,40.106968285514775,0.267333984375,45.6170238101827,0.338623046875,37.81689547713299,43.39946938282531,11873,59.058704453441294,70.23986167042584,5928,16.63582842724979,16.63582842724979,5945,65.3583761475617,0.119384765625,69.47058932189002,0.119384765625
2,2,38.104957834237524,48.6926004549374,130319,48.951290586378875,64.84342496270521,86821,16.455929008230264,16.455929008230264,43498,54.77865852254852,0.331298828125,63.82667868085613,0.415771484375,39.66983913080098,44.7907105889511,11873,66.32928475033738,76.58571302675688,5928,13.086627417998319,13.086627417998319,5945,71.7173418681041,0.138916015625,75.83337328441942,0.1729736328125
3,3,40.22360515350793,50.52124305649359,130319,53.349995968717245,68.80683099571772,86821,14.023633270495194,14.023633270495194,43498,59.25920241868032,0.34130859375,68.32134778803311,0.452392578125,40.7647603806957,45.501913745559186,11873,69.77058029689609,79.25847198060451,5928,11.84188393608074,11.84188393608074,5945,73.82295965636318,0.1121826171875,77.78031663202036,0.1190185546875
4,4,41.24264305281655,51.43751241743741,130319,55.49118300871909,70.7937616559125,86821,12.802887489079957,12.802887489079957,43498,61.39703343334433,0.367431640625,70.48460464225997,0.42626953125,40.89109744799124,45.575171767698684,11873,70.44534412955466,79.82692550571622,5928,11.421362489486963,11.421362489486963,5945,74.72416406973807,0.12066650390625,78.80002511049354,0.203857421875
5,5,41.78976204544234,51.88492373527549,130319,56.51628062335149,71.6691972709053,86821,12.395972228608212,12.395972228608212,43498,62.655483851165215,0.350341796875,71.72152165590516,0.424560546875,40.96689968836857,45.52795456907882,11873,71.62618083670715,80.76137054633476,5928,10.395290159798149,10.395290159798149,5945,75.87804261770404,0.1260986328125,79.71674282650137,0.165283203125
6,6,42.47577099271787,52.508077360452646,130319,57.536771057693414,72.59534137520563,86821,12.414363878799024,12.414363878799024,43498,63.62004005555598,0.36279296875,72.70756456005014,0.42333984375,41.30379853449002,45.69310578765641,11873,72.62145748987854,81.41265941579688,5928,10.07569386038688,10.07569386038688,5945,76.60237513686516,0.09857177734375,80.26613101692651,0.0994873046875
7,7,42.79805707533053,52.72573781384012,130319,58.41674249317561,73.31826892297579,86821,11.62352292059405,11.62352292059405,43498,64.2193386996524,0.362060546875,73.25570125690298,0.448974609375,41.21957382295965,45.774268930347574,11873,72.99257759784075,82.11502952260732,5928,9.537426408746846,9.537426408746846,5945,77.09087846374126,0.1451416015625,81.00701524441952,0.1451416015625
8,8,43.00907772466026,52.97432295510154,130319,58.88206770251437,73.83997872848454,86821,11.326957561267184,11.326957561267184,43498,64.72655560585947,0.334716796875,73.77574262291802,0.42236328125,41.337488419102165,45.837156225034384,11873,73.1612685560054,82.173508073521,5928,9.604709840201851,9.604709840201851,5945,77.08245599258822,0.1448974609375,80.94248850756414,0.2113037109375
9,9,43.314482155326544,53.238095971597325,130319,59.34854470692574,74.2439666546395,86821,11.310864867350222,11.310864867350222,43498,65.25295620746016,0.352783203125,74.28267342264944,0.42236328125,41.31222100564305,45.7480202577182,11873,73.582995951417,82.46731520241026,5928,9.13372582001682,9.13372582001682,5945,77.38566495409754,0.1202392578125,81.23921587782296,0.14892578125
10,10,43.38431080655929,53.347670651133704,130319,59.47754575505926,74.43262680209813,86821,11.262586785599337,11.262586785599337,43498,65.35654816258565,0.3447265625,74.48572660063786,0.427490234375,41.22799629411269,45.678313521940275,11873,73.36369770580296,82.27709454217207,5928,9.184188393608075,9.184188393608075,5945,77.29301777141413,0.11859130859375,81.10399557434089,0.1556396484375
